username,total,easy,medium,hard,rating,C++,Java,Python,Python3,C,C#,JavaScript,TypeScript,PHP,Swift,Kotlin,Dart,Go,Ruby,Scala,Rust,Racket,Erlang,Elixir,MySQL,MS SQL Server,Oracle,Pandas,PostgreSQL,ranking,Array,String,Hash Table,Math,Dynamic Programming,Sorting,Greedy,Depth-First Search,Binary Search,Database,Breadth-First Search,Tree,Matrix,Two Pointers,Bit Manipulation,Binary Tree,Heap (Priority Queue),Stack,Prefix Sum,Simulation,Graph,Design,Counting,Sliding Window,Backtracking,Union Find,Enumeration,Linked List,Ordered Set,Monotonic Stack,Trie,Number Theory,Divide and Conquer,Recursion,Bitmask,Queue,Binary Search Tree,Segment Tree,Memoization,Hash Function,Geometry,Binary Indexed Tree,Topological Sort,String Matching,Combinatorics,Rolling Hash,Shortest Path,Game Theory,Data Stream,Interactive,Brainteaser,Monotonic Queue,Randomized,Merge Sort,Iterator,Concurrency,Doubly-Linked List,Probability and Statistics,Quickselect,Bucket Sort,Suffix Array,Minimum Spanning Tree,Counting Sort,Shell,Line Sweep,Reservoir Sampling,Strongly Connected Component,Eulerian Circuit,Radix Sort,Rejection Sampling,Biconnected Component,contestAttended,streak,totalActiveDays,contest_LastYear,contest_6months,contest_1month,last1monthActiveDays,last6monthActiveDays,OurRating
aditisingh23,481,116,333,32,1566.89,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138374,278,93,106,49,92,77,75,73,40,0,62,59,33,56,14,57,0,34,0,18,24,10,0,26,18,16,4,28,2,14,5,0,9,9,1,4,0,2,0,0,0,2,4,0,0,0,1,2,1,0,1,2,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,81
Aditi_,303,122,160,21,1437.037,1,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347930,151,81,62,39,45,37,19,43,24,0,32,32,22,39,16,29,0,21,0,15,10,12,0,10,13,6,0,24,2,5,9,0,14,10,0,3,0,1,0,0,0,1,3,0,0,2,2,1,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7,42,0,0,0,7,41,48
Rohanfizz,1022,254,593,175,1925.252,889,275,0,2,0,0,30,28,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,19819,542,220,209,151,200,141,117,152,89,19,117,126,85,85,53,114,0,66,0,41,58,47,0,42,37,38,14,48,13,22,13,0,25,22,4,16,0,6,0,0,0,6,14,0,0,3,6,8,7,0,6,5,6,0,3,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,23,72,345,6,0,0,26,166,93
ROHANCODEIT,535,213,289,33,1367.05,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,469324,272,119,96,69,75,65,59,65,31,15,52,60,35,62,30,57,0,45,0,27,19,19,0,16,19,13,5,36,5,11,8,0,18,16,1,10,0,5,0,0,0,5,2,0,0,2,0,2,3,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,70
Rohan1505,322,143,156,23,1679.36894941116,240,6,1,51,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,71399,160,73,66,45,45,52,26,29,21,22,23,26,19,30,20,25,0,14,0,19,9,6,0,13,17,3,5,17,3,1,4,0,7,12,1,5,0,1,0,0,0,1,2,0,0,1,3,2,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,26,197,11,11,3,28,123,70
rohanb459,515,167,273,75,1565.243,514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139804,281,110,107,63,97,73,46,70,41,0,54,58,38,49,33,50,0,29,0,16,33,21,0,18,20,21,7,30,5,9,11,0,16,13,3,10,0,3,0,0,0,4,7,0,0,1,2,3,3,0,2,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,85,186,15,8,0,7,77,75
Kumari_Sunanda,91,83,6,2,0,77,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,13,16,23,4,15,2,2,9,0,1,2,6,10,4,1,0,3,0,10,0,0,0,1,0,0,2,5,0,1,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,1,6,10
SunandiniM1509,39,21,15,3,0,5,21,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,6,4,2,3,2,6,2,0,5,6,0,6,1,6,0,4,0,2,1,1,0,2,1,0,0,11,0,1,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
spandan611,459,61,328,70,1581.288,457,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126347,262,125,107,54,97,61,62,66,49,0,48,51,45,44,19,50,0,32,0,11,20,38,0,24,27,9,2,9,11,13,14,0,14,11,1,9,0,7,0,0,0,2,7,0,0,3,4,2,8,0,2,4,4,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,61
venkatasaitanish,685,194,410,81,1949.3,677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,17505,365,172,156,84,114,108,91,87,57,8,64,71,49,67,41,64,0,45,0,44,28,31,0,22,28,17,15,36,10,12,14,0,19,16,5,9,0,5,0,0,0,4,8,0,0,3,3,3,2,0,1,2,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,50,60,78,0,0,0,12,78,97
